angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.21,"[150, 429, 114, 128]",0.0,0.06,0.01,0.45,0.24,0.03
0.29,"[151, 427, 113, 130]",0.0,0.09,0.02,0.33,0.22,0.04
0.29,"[151, 427, 113, 130]",0.0,0.09,0.02,0.33,0.22,0.04
0.23,"[151, 426, 110, 126]",0.0,0.06,0.01,0.48,0.17,0.05
0.27,"[149, 418, 114, 134]",0.0,0.07,0.01,0.4,0.22,0.04
0.3,"[147, 418, 111, 129]",0.01,0.07,0.01,0.36,0.19,0.06
0.2,"[148, 415, 110, 125]",0.0,0.08,0.0,0.43,0.17,0.11
0.17,"[146, 411, 112, 129]",0.0,0.11,0.0,0.47,0.19,0.06
0.15,"[142, 406, 114, 132]",0.0,0.1,0.0,0.55,0.12,0.07
0.15,"[141, 404, 112, 131]",0.0,0.12,0.0,0.53,0.14,0.06
0.15,"[143, 402, 111, 130]",0.0,0.07,0.0,0.64,0.1,0.05
0.15,"[143, 402, 111, 130]",0.0,0.07,0.0,0.64,0.1,0.05
0.11,"[142, 398, 112, 132]",0.0,0.06,0.0,0.69,0.12,0.02
0.15,"[143, 394, 111, 132]",0.0,0.04,0.0,0.64,0.16,0.01
0.11,"[141, 392, 112, 132]",0.0,0.03,0.0,0.73,0.12,0.01
0.1,"[139, 387, 115, 136]",0.0,0.04,0.0,0.66,0.19,0.0
0.13,"[139, 383, 115, 139]",0.0,0.05,0.0,0.59,0.23,0.0
0.13,"[136, 378, 119, 142]",0.0,0.03,0.0,0.63,0.19,0.0
0.19,"[135, 376, 120, 143]",0.0,0.06,0.0,0.5,0.24,0.01
0.17,"[140, 372, 118, 141]",0.0,0.04,0.0,0.6,0.2,0.0
0.15,"[141, 374, 116, 138]",0.0,0.03,0.0,0.65,0.16,0.0
0.16,"[139, 368, 119, 143]",0.0,0.04,0.0,0.61,0.19,0.0
0.19,"[136, 362, 123, 147]",0.0,0.04,0.0,0.63,0.14,0.0
0.07,"[141, 359, 118, 145]",0.0,0.01,0.0,0.86,0.05,0.0
0.04,"[146, 353, 117, 142]",0.0,0.0,0.0,0.88,0.07,0.0
0.06,"[146, 352, 117, 144]",0.0,0.0,0.0,0.86,0.08,0.0
0.06,"[146, 349, 116, 144]",0.0,0.01,0.0,0.85,0.07,0.0
0.07,"[146, 348, 116, 144]",0.0,0.01,0.0,0.84,0.07,0.0
0.14,"[145, 342, 119, 149]",0.0,0.02,0.0,0.75,0.09,0.0
0.14,"[145, 342, 119, 149]",0.0,0.02,0.0,0.75,0.09,0.0
0.14,"[144, 339, 123, 150]",0.0,0.01,0.0,0.76,0.09,0.0
0.11,"[145, 337, 121, 151]",0.0,0.01,0.0,0.78,0.1,0.0
0.07,"[146, 334, 121, 151]",0.0,0.01,0.0,0.85,0.07,0.0
0.06,"[144, 332, 124, 155]",0.0,0.01,0.0,0.86,0.07,0.0
0.04,"[144, 330, 124, 154]",0.0,0.01,0.0,0.87,0.08,0.0
0.04,"[144, 330, 124, 154]",0.0,0.01,0.0,0.87,0.08,0.0
0.03,"[144, 327, 125, 156]",0.0,0.01,0.0,0.9,0.06,0.0
0.04,"[142, 326, 127, 156]",0.0,0.01,0.0,0.87,0.08,0.0
0.04,"[142, 326, 127, 156]",0.0,0.01,0.0,0.87,0.08,0.0
0.05,"[142, 321, 130, 163]",0.0,0.01,0.0,0.83,0.1,0.0
0.04,"[143, 317, 133, 163]",0.0,0.01,0.0,0.9,0.05,0.0
0.03,"[140, 313, 134, 168]",0.0,0.01,0.01,0.9,0.05,0.0
0.02,"[146, 317, 126, 160]",0.0,0.01,0.0,0.93,0.04,0.0
0.02,"[143, 306, 137, 170]",0.0,0.01,0.01,0.92,0.04,0.0
0.06,"[143, 309, 132, 167]",0.0,0.02,0.0,0.86,0.06,0.0
0.05,"[140, 303, 139, 175]",0.0,0.01,0.0,0.87,0.06,0.0
0.05,"[140, 303, 139, 175]",0.0,0.01,0.0,0.87,0.06,0.0
0.05,"[140, 303, 139, 175]",0.0,0.01,0.0,0.87,0.06,0.0
0.05,"[142, 305, 133, 170]",0.0,0.02,0.0,0.86,0.07,0.0
0.09,"[140, 293, 139, 182]",0.0,0.03,0.0,0.69,0.18,0.0
0.07,"[141, 291, 140, 181]",0.0,0.03,0.01,0.62,0.27,0.0
0.08,"[139, 287, 142, 184]",0.0,0.05,0.0,0.63,0.24,0.0
0.08,"[139, 284, 144, 186]",0.0,0.05,0.0,0.66,0.21,0.0
0.08,"[138, 282, 147, 189]",0.0,0.03,0.0,0.67,0.21,0.0
0.09,"[139, 281, 146, 184]",0.0,0.08,0.01,0.47,0.35,0.0
0.07,"[141, 279, 144, 185]",0.0,0.08,0.01,0.48,0.36,0.0
0.07,"[141, 279, 144, 185]",0.0,0.08,0.01,0.48,0.36,0.0
0.05,"[143, 275, 146, 192]",0.0,0.05,0.01,0.66,0.23,0.0
0.05,"[143, 275, 146, 192]",0.0,0.06,0.01,0.65,0.23,0.0
0.06,"[141, 274, 145, 191]",0.0,0.05,0.01,0.65,0.23,0.0
0.04,"[137, 272, 154, 194]",0.0,0.03,0.01,0.75,0.18,0.0
0.07,"[134, 268, 154, 198]",0.0,0.04,0.01,0.67,0.21,0.0
0.07,"[135, 266, 153, 198]",0.0,0.04,0.01,0.61,0.28,0.0
0.1,"[136, 266, 151, 197]",0.0,0.05,0.01,0.61,0.23,0.0
0.05,"[132, 260, 151, 201]",0.0,0.07,0.0,0.56,0.32,0.0
0.05,"[132, 260, 151, 201]",0.0,0.07,0.0,0.55,0.32,0.0
0.09,"[131, 256, 153, 204]",0.0,0.08,0.01,0.6,0.22,0.0
0.05,"[136, 256, 154, 206]",0.0,0.06,0.02,0.64,0.23,0.0
0.07,"[138, 255, 156, 207]",0.0,0.08,0.03,0.53,0.29,0.0
0.06,"[134, 254, 158, 207]",0.0,0.06,0.03,0.63,0.22,0.0
0.06,"[134, 254, 158, 207]",0.0,0.06,0.03,0.63,0.22,0.0
0.06,"[132, 250, 160, 212]",0.0,0.07,0.01,0.61,0.25,0.0
0.06,"[133, 250, 154, 209]",0.0,0.08,0.01,0.51,0.33,0.0
0.09,"[131, 248, 164, 207]",0.0,0.07,0.01,0.51,0.32,0.0
0.09,"[131, 248, 164, 207]",0.0,0.07,0.01,0.51,0.32,0.0
0.13,"[130, 238, 167, 221]",0.0,0.09,0.02,0.46,0.3,0.0
0.12,"[130, 237, 167, 221]",0.0,0.08,0.02,0.5,0.29,0.0
0.13,"[129, 235, 170, 222]",0.0,0.09,0.02,0.44,0.31,0.0
0.16,"[130, 229, 172, 227]",0.0,0.06,0.02,0.5,0.25,0.0
0.16,"[131, 227, 171, 226]",0.0,0.05,0.02,0.56,0.21,0.0
0.16,"[131, 227, 171, 226]",0.0,0.05,0.02,0.56,0.21,0.0
0.24,"[131, 225, 173, 225]",0.0,0.1,0.02,0.4,0.24,0.0
0.16,"[129, 223, 173, 225]",0.0,0.11,0.02,0.48,0.22,0.0
0.18,"[129, 221, 175, 227]",0.0,0.12,0.02,0.46,0.22,0.0
0.18,"[129, 221, 175, 227]",0.0,0.12,0.02,0.46,0.22,0.0
0.27,"[134, 211, 171, 232]",0.0,0.11,0.01,0.25,0.36,0.0
0.35,"[134, 208, 175, 237]",0.0,0.07,0.01,0.34,0.23,0.0
0.25,"[133, 205, 175, 240]",0.0,0.09,0.01,0.43,0.22,0.0
0.19,"[133, 205, 179, 243]",0.0,0.08,0.02,0.6,0.12,0.0
0.26,"[134, 204, 177, 242]",0.0,0.11,0.01,0.46,0.15,0.0
0.26,"[132, 196, 176, 242]",0.0,0.1,0.02,0.29,0.33,0.0
0.27,"[130, 192, 181, 243]",0.0,0.1,0.02,0.27,0.34,0.01
0.2,"[130, 190, 181, 245]",0.0,0.05,0.02,0.33,0.39,0.01
0.2,"[130, 190, 181, 245]",0.0,0.05,0.02,0.32,0.4,0.01
0.32,"[132, 190, 179, 245]",0.0,0.11,0.01,0.22,0.33,0.01
0.22,"[129, 198, 185, 250]",0.0,0.06,0.02,0.52,0.18,0.0
0.24,"[126, 197, 186, 249]",0.0,0.06,0.01,0.53,0.16,0.0
0.31,"[124, 194, 190, 253]",0.0,0.09,0.01,0.47,0.12,0.0
0.38,"[124, 192, 192, 256]",0.0,0.08,0.01,0.41,0.12,0.0
0.38,"[125, 192, 192, 257]",0.0,0.08,0.01,0.36,0.16,0.0
0.48,"[122, 190, 195, 262]",0.0,0.08,0.01,0.3,0.13,0.0
0.48,"[122, 191, 195, 262]",0.0,0.09,0.01,0.29,0.13,0.0
0.47,"[122, 191, 196, 262]",0.0,0.09,0.01,0.29,0.13,0.0
0.48,"[122, 190, 195, 263]",0.0,0.08,0.01,0.31,0.12,0.0
0.5,"[122, 190, 196, 264]",0.0,0.09,0.01,0.27,0.14,0.0
0.39,"[120, 190, 198, 266]",0.0,0.1,0.02,0.35,0.12,0.01
0.35,"[122, 180, 198, 276]",0.0,0.06,0.02,0.32,0.25,0.0
0.19,"[116, 190, 200, 266]",0.0,0.07,0.01,0.53,0.2,0.0
0.4,"[117, 183, 204, 274]",0.0,0.06,0.02,0.28,0.24,0.0
0.38,"[117, 181, 206, 280]",0.0,0.09,0.02,0.32,0.19,0.0
0.59,"[118, 179, 206, 284]",0.0,0.09,0.01,0.19,0.11,0.0
0.59,"[118, 179, 206, 284]",0.0,0.09,0.01,0.19,0.11,0.0
0.3,"[115, 181, 208, 281]",0.0,0.13,0.01,0.37,0.19,0.0
0.25,"[114, 179, 209, 279]",0.0,0.12,0.02,0.43,0.18,0.0
0.48,"[116, 163, 210, 295]",0.0,0.06,0.01,0.17,0.29,0.0
0.4,"[115, 174, 212, 286]",0.0,0.1,0.01,0.33,0.15,0.0
0.5,"[114, 170, 215, 290]",0.0,0.09,0.01,0.26,0.14,0.0
0.14,"[116, 164, 210, 286]",0.0,0.02,0.0,0.69,0.14,0.01
0.27,"[114, 170, 217, 292]",0.0,0.05,0.04,0.57,0.06,0.01
0.25,"[116, 170, 217, 293]",0.0,0.04,0.05,0.6,0.06,0.01
0.25,"[116, 170, 217, 293]",0.0,0.04,0.05,0.6,0.06,0.01
0.21,"[118, 170, 218, 295]",0.0,0.02,0.03,0.7,0.04,0.01
0.17,"[108, 161, 224, 309]",0.0,0.02,0.09,0.66,0.04,0.01
0.22,"[108, 155, 226, 315]",0.0,0.01,0.03,0.68,0.05,0.0
0.05,"[114, 169, 219, 296]",0.0,0.01,0.03,0.89,0.02,0.01
0.03,"[112, 169, 219, 294]",0.0,0.01,0.01,0.93,0.02,0.0
0.03,"[112, 169, 219, 294]",0.0,0.01,0.01,0.93,0.02,0.0
0.07,"[108, 168, 222, 298]",0.0,0.01,0.03,0.87,0.02,0.01
0.07,"[108, 168, 222, 297]",0.0,0.01,0.01,0.88,0.03,0.0
0.14,"[106, 165, 225, 305]",0.0,0.01,0.02,0.8,0.02,0.01
0.09,"[101, 158, 224, 305]",0.0,0.01,0.01,0.84,0.06,0.0
0.08,"[104, 164, 228, 307]",0.0,0.0,0.01,0.89,0.02,0.0
0.23,"[102, 159, 221, 307]",0.0,0.02,0.0,0.66,0.09,0.0
0.12,"[109, 165, 222, 308]",0.0,0.01,0.01,0.83,0.02,0.01
0.06,"[107, 168, 222, 305]",0.0,0.01,0.0,0.91,0.02,0.0
0.04,"[102, 168, 228, 306]",0.0,0.0,0.0,0.94,0.01,0.0
0.02,"[102, 168, 228, 307]",0.0,0.0,0.0,0.95,0.02,0.0
0.03,"[102, 168, 228, 307]",0.0,0.0,0.0,0.95,0.02,0.0
0.03,"[102, 168, 228, 307]",0.0,0.0,0.0,0.95,0.02,0.0
0.01,"[102, 170, 227, 306]",0.0,0.0,0.0,0.98,0.01,0.0
0.01,"[104, 172, 226, 305]",0.0,0.0,0.0,0.97,0.01,0.0
0.01,"[104, 172, 227, 306]",0.0,0.0,0.0,0.98,0.01,0.0
0.01,"[102, 172, 229, 306]",0.0,0.0,0.0,0.98,0.01,0.0
0.01,"[102, 173, 228, 305]",0.0,0.0,0.0,0.97,0.01,0.0
0.02,"[99, 172, 232, 309]",0.0,0.0,0.0,0.97,0.01,0.0
0.01,"[98, 175, 231, 304]",0.0,0.0,0.0,0.98,0.01,0.0
0.01,"[98, 176, 230, 304]",0.0,0.0,0.0,0.98,0.01,0.0
0.01,"[98, 176, 230, 304]",0.0,0.0,0.0,0.98,0.01,0.0
0.02,"[97, 176, 233, 307]",0.0,0.0,0.0,0.97,0.01,0.0
0.01,"[96, 173, 236, 313]",0.0,0.0,0.0,0.98,0.01,0.0
0.01,"[98, 175, 232, 306]",0.0,0.0,0.0,0.98,0.01,0.0
0.01,"[98, 175, 232, 306]",0.0,0.0,0.0,0.98,0.01,0.0
0.02,"[95, 169, 224, 304]",0.0,0.01,0.0,0.93,0.03,0.0
0.01,"[97, 174, 233, 309]",0.0,0.0,0.0,0.98,0.01,0.0
0.03,"[97, 167, 222, 305]",0.0,0.01,0.0,0.93,0.03,0.0
0.02,"[96, 174, 233, 311]",0.0,0.0,0.0,0.96,0.01,0.0
0.02,"[94, 168, 223, 305]",0.0,0.01,0.0,0.95,0.02,0.0
0.02,"[95, 167, 222, 302]",0.0,0.0,0.0,0.95,0.03,0.0
0.02,"[94, 167, 222, 303]",0.0,0.01,0.0,0.93,0.03,0.0
0.02,"[95, 167, 222, 303]",0.0,0.01,0.0,0.93,0.03,0.0
0.03,"[94, 168, 222, 302]",0.0,0.01,0.0,0.93,0.03,0.0
0.02,"[96, 170, 221, 300]",0.0,0.01,0.0,0.95,0.02,0.0
0.04,"[94, 167, 226, 307]",0.0,0.01,0.0,0.91,0.04,0.0
0.03,"[92, 167, 227, 306]",0.0,0.01,0.0,0.93,0.03,0.0
0.03,"[94, 165, 226, 307]",0.0,0.01,0.01,0.91,0.03,0.01
0.05,"[94, 165, 227, 309]",0.0,0.01,0.01,0.89,0.04,0.01
0.03,"[91, 167, 228, 308]",0.0,0.01,0.01,0.91,0.03,0.01
0.06,"[93, 168, 228, 304]",0.0,0.01,0.01,0.87,0.03,0.01
0.03,"[90, 167, 228, 308]",0.0,0.01,0.04,0.9,0.02,0.01
0.01,"[95, 177, 229, 300]",0.0,0.0,0.02,0.96,0.01,0.0
0.01,"[95, 179, 227, 296]",0.0,0.0,0.04,0.94,0.01,0.0
0.01,"[95, 178, 226, 297]",0.0,0.0,0.04,0.94,0.01,0.0
0.01,"[94, 178, 228, 298]",0.0,0.0,0.02,0.96,0.01,0.0
0.04,"[95, 178, 227, 294]",0.0,0.01,0.11,0.83,0.01,0.0
0.03,"[95, 178, 227, 294]",0.0,0.0,0.12,0.83,0.01,0.0
0.02,"[94, 180, 228, 293]",0.0,0.0,0.06,0.9,0.01,0.0
0.02,"[94, 180, 227, 290]",0.0,0.0,0.17,0.79,0.0,0.0
0.02,"[94, 180, 228, 290]",0.0,0.0,0.15,0.82,0.01,0.0
0.01,"[95, 180, 228, 288]",0.0,0.0,0.19,0.79,0.0,0.0
0.02,"[95, 179, 229, 289]",0.0,0.0,0.27,0.7,0.0,0.0
0.02,"[96, 179, 228, 287]",0.0,0.0,0.36,0.61,0.0,0.0
0.02,"[95, 178, 230, 289]",0.0,0.0,0.27,0.7,0.01,0.0
0.03,"[94, 178, 229, 287]",0.0,0.0,0.39,0.57,0.0,0.01
0.05,"[95, 177, 230, 287]",0.0,0.01,0.54,0.38,0.01,0.02
0.04,"[94, 177, 229, 286]",0.0,0.0,0.64,0.29,0.0,0.02
0.03,"[96, 176, 230, 290]",0.0,0.0,0.48,0.48,0.01,0.01
0.05,"[95, 176, 231, 291]",0.0,0.0,0.43,0.5,0.01,0.01
0.05,"[95, 176, 230, 291]",0.0,0.0,0.44,0.49,0.01,0.01
0.05,"[95, 177, 232, 289]",0.0,0.0,0.6,0.34,0.01,0.0
0.04,"[96, 175, 233, 292]",0.0,0.0,0.43,0.52,0.01,0.0
0.05,"[95, 176, 233, 292]",0.0,0.0,0.47,0.46,0.01,0.01
0.04,"[95, 175, 232, 292]",0.0,0.0,0.66,0.29,0.01,0.0
0.04,"[96, 176, 232, 290]",0.0,0.0,0.66,0.29,0.0,0.01
0.04,"[94, 178, 234, 290]",0.0,0.0,0.22,0.73,0.0,0.0
0.04,"[96, 175, 233, 291]",0.0,0.0,0.71,0.23,0.01,0.01
0.01,"[97, 175, 228, 286]",0.0,0.0,0.82,0.16,0.0,0.0
0.01,"[96, 175, 229, 287]",0.0,0.0,0.89,0.1,0.0,0.0
0.01,"[96, 175, 227, 285]",0.0,0.0,0.86,0.13,0.0,0.0
0.0,"[96, 173, 228, 287]",0.0,0.0,0.94,0.05,0.0,0.0
0.01,"[96, 173, 229, 288]",0.0,0.0,0.95,0.03,0.0,0.0
0.01,"[95, 170, 232, 290]",0.0,0.0,0.93,0.05,0.0,0.0
0.01,"[95, 170, 232, 290]",0.0,0.0,0.93,0.05,0.0,0.0
0.01,"[95, 170, 232, 290]",0.0,0.0,0.93,0.05,0.0,0.0
0.02,"[95, 170, 230, 291]",0.0,0.0,0.9,0.07,0.0,0.01
0.02,"[95, 171, 232, 291]",0.0,0.0,0.9,0.07,0.0,0.0
0.02,"[93, 170, 234, 293]",0.0,0.0,0.95,0.03,0.0,0.0
0.01,"[93, 170, 234, 292]",0.0,0.0,0.98,0.01,0.0,0.0
0.01,"[93, 170, 234, 292]",0.0,0.0,0.97,0.02,0.0,0.0
0.01,"[93, 171, 234, 290]",0.0,0.0,0.98,0.01,0.0,0.0
0.01,"[92, 171, 234, 289]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[92, 171, 233, 289]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[92, 171, 233, 289]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[92, 174, 232, 285]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[92, 174, 233, 286]",0.0,0.0,0.99,0.01,0.0,0.0
0.01,"[93, 174, 232, 285]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[91, 174, 234, 287]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[91, 174, 234, 287]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[93, 171, 232, 289]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[94, 171, 233, 288]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[92, 171, 233, 288]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[92, 171, 233, 288]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[94, 171, 233, 292]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[95, 170, 233, 288]",0.0,0.0,0.99,0.0,0.0,0.0
0.01,"[94, 171, 234, 286]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[96, 170, 233, 288]",0.0,0.0,1.0,0.0,0.0,0.0
0.01,"[95, 167, 233, 291]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[94, 165, 233, 294]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[94, 163, 233, 300]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[94, 163, 233, 300]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[94, 164, 233, 299]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[92, 164, 236, 297]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[92, 164, 236, 298]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[91, 164, 235, 297]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[90, 166, 236, 293]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[90, 167, 234, 293]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[91, 166, 235, 294]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[91, 165, 237, 296]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[91, 165, 235, 294]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[91, 166, 235, 294]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[92, 164, 236, 297]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[91, 165, 236, 295]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[92, 165, 235, 294]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[92, 165, 235, 294]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[90, 168, 235, 293]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[91, 168, 236, 295]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[92, 167, 234, 292]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[92, 167, 234, 292]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[92, 167, 234, 292]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[92, 168, 233, 293]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[92, 167, 234, 294]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[93, 168, 232, 293]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[90, 166, 237, 297]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[89, 166, 239, 296]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[90, 167, 238, 296]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[92, 166, 241, 299]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[92, 165, 241, 300]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[92, 165, 241, 300]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[92, 166, 240, 297]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[91, 165, 240, 297]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[90, 167, 239, 297]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[91, 168, 239, 295]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[91, 168, 238, 296]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[91, 168, 238, 296]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[91, 167, 239, 297]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[90, 166, 241, 295]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[90, 166, 241, 295]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[89, 164, 242, 299]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[88, 166, 240, 294]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[87, 166, 240, 299]",0.0,0.0,1.0,0.0,0.0,0.0
